FGM T,FGA T,Home,Minutes Diff,Rest Days,Recent T,OU Result
0.35096701065142505,0.2857142857142854,1,-0.8707159998895377,3,0.22640166162658912,5.0
-0.6185895741317419,-0.01981072129375811,1,0.5567306167185672,3,-0.5331473272274102,13.0
0.5964809080634609,0.15751230612964337,0,0.9449111825230686,2,0.508933642938643,-8.0
-3.399999999999998,-1.1000000000000012,0,1.0392304845413287,2,-4.503332099679083,-2.0
2.42857142857143,2.1428571428571423,1,6.357142857142855,3,5.196152422706631,-2.0
-0.17320508075688787,0.19999999999999926,0,0.24743582965269675,2,0.030769230769231066,-9.0
-0.22188007849009156,-0.5028948456749693,0,0.720056256592655,2,-0.03831305140884643,3.0
0.5964809080634609,0.575,1,-0.05177803730785013,3,0.3670651741928987,-3.0
1.2758104513180268,1.2399999999999998,1,1.2999999999999978,3,0.8325838554095678,8.0
-2.600000000000001,-0.23015858222750024,1,4.000000000000006,3,-0.3023715784073847,-1.0
0.1315191898442858,0.1428571428571431,0,0.8000000000000077,3,0.0,-14.0
-1.3000000000000005,-1.9052558883257642,1,-0.33282011773513825,3,-0.9707253433941512,-12.0
0.34641016151377574,0.25144742283748583,0,-0.027735009811261358,3,0.09251460406371292,-25.0
-0.19999999999999926,-0.5500000000000006,0,0.3000000000000007,3,0.22941573387056216,-2.0
0.34641016151377574,0.8315218406203,0,0.030499714066520828,3,1.0392304845413256,-4.0
-1.2499999999999993,-3.4999999999999982,1,0.3813563849048454,3,0.12500000000000086,-1.5
0.24999999999999978,-0.16366341767699427,1,-0.18898223650461496,3,1.7500000000000018,1.0
0.0,0.13867504905630754,1,-0.16004609991611904,3,-0.4724555912615333,1.0
0.5000000000000008,0.5455447255899813,0,-1.9727878476642855,3,0.43301270189221924,-1.5
0.7624928516630235,-0.25923792368260595,0,-0.32879797461071336,3,0.26379467179224714,0.0
0.25,0.0,1,0.8660254037844385,3,0.030542361089075865,-13.0
-0.5000000000000008,-1.25,0,0.3076923076923082,3,0.28676966733820297,-11.0
-1.0323708024175275,-2.912176030182452,0,-6.2499999999999964,3,-0.9863939238321436,8.0
-0.37796447300922686,0.33333333333333304,1,2.499999999999996,4,-1.2990381056766578,-6.0
0.2857142857142854,0.38124642583151114,0,-0.4364357804719855,1,0.1814665465778246,-3.5
-1.248075441506765,-1.664100588675688,1,-0.7142857142857132,4,-1.1811389781538348,6.0
-0.8322397195638238,-0.628970902033151,0,0.0,1,-0.8080749189443175,-6.0
1.1338934190276817,1.347150628109127,1,0.11704114719613137,4,0.8387421368293252,7.5
0.577350269189626,0.8660254037844386,0,0.8333333333333339,1,0.4003203845127181,-0.5
0.25,0.0,0,0.6308932681440432,3,0.24094993678753018,2.5
-0.7698003589195008,-2.020725942163689,1,-0.5000000000000004,4,-0.8247860988423227,8.5
0.8660254037844385,0.28769822778437554,0,-0.16439898730535668,3,0.5893689584893057,-3.0
-0.13867504905630712,0.0,1,-0.5388159060803246,4,-0.4436782547080567,-4.0
-0.5547001962252294,-0.43301270189221924,0,0.5837172315870197,3,-0.5547001962252286,-11.0
-0.7456011350793256,-0.30499714066520905,0,-0.45883146774112427,3,-1.0747316301863816,4.0
-0.06933752452815413,-1.2499999999999982,0,-2.499999999999996,4,-0.5960395606792697,3.5
-1.3856406460551014,-0.8717797887081339,1,-1.4907240068222312,3,-0.9607689228305228,-9.0
-0.13093073414159553,-0.17320508075688787,1,0.08464147390303149,3,-0.03592106040535533,2.0
0.6614378277661482,0.4724555912615353,0,0.05852057359806444,4,-0.5000000000000034,-3.5
0.5200000000000002,0.3464101615137742,1,-0.36055512754639907,3,0.36526729314262363,-3.0
-0.22941573387056155,-0.1600460999161204,0,-0.25,4,0.19689038266205378,-9.5
-0.2384158242717077,-0.4406000912017291,1,-0.11393038422796103,3,-0.21160368475757946,-2.0
1.795331246793829,0.9500000000000003,1,-0.32879797461071514,2,2.6,-1.0
-0.4588314677411237,-0.19067819245242276,1,0.5714285714285724,2,-0.13308182758635265,1.5
1.0,-0.1198039813396485,0,0.10204081632652873,2,0.7920227903084712,3.0
2.3750000000000004,3.6250000000000018,1,2.1794494717703374,2,2.504014633686129,-2.5
-1.6063490102892153,-4.9375,1,-2.3392857142857135,2,-2.695634872979101,13.5
-0.3779644730092274,-0.6285714285714286,0,-0.7624928516630222,2,-0.554700196225229,-3.0
-0.25657900289539276,-3.995624428954687,0,-0.8095238095238089,2,-0.15073981245271273,2.0
-0.39999999999999986,-2.599999999999996,1,2.645751311064589,2,0.5000000000000008,-6.0
0.5669467095138405,0.9041944301794649,0,-0.24999999999999645,2,0.6614378277661476,-0.5
-0.07559289460184618,-0.7341303483857974,1,-0.23408229439226153,2,-0.7559289460184537,5.0
-0.9449111825230679,-0.3973597071195131,0,-1.1823951337971517,2,-0.5665643349444686,4.0
-1.5118578920369083,-0.5636214801906778,0,-0.6193235372853321,2,-1.4660333322756625,-6.0
0.19999999999999982,-0.48571428571428626,1,-0.1907641932953066,2,0.03973597071195117,1.0
-0.5547001962252293,-0.8000000000000003,0,-0.5669467095138409,2,0.1417366773784602,-0.5
0.277350098112615,-0.3199999999999988,0,-2.1999999999999917,2,0.049999999999999815,-1.0
0.15118578920369036,-0.8000000000000007,1,0.15751230612964398,2,-0.2999999999999998,-3.0
0.40000000000000036,-0.23094010767584947,0,-0.22677868380553687,2,-0.3882901373576619,-7.0
0.18353258709644937,0.2048590078926328,0,-0.6047431568147614,2,0.08108848540793803,0.0
-0.7559289460184542,-0.5047146145152366,1,-0.8875203139603635,2,-0.7559289460184548,-5.0
