Player,Line,Under,Over
Alanna Smith,9.5,-130,-125
Bridget Carleton,9.5,-110,-135
Courtney Williams,11.5,-120,-130
Napheesa Collier,20.5,-110,-135
Breanna Stewart,20.5,-125,-125
Kelsey Plum,16.5,-105,-140
Jonquel Jones,14.5,-125,-125
