L10 Median,FG T,Minutes Diff,Rest Days,Points,Line,OU Result
35.0,-0.4567607928289343,-1.973200070575339,2,17,35.5,0
18.0,-0.6232502388407513,-1.3051727920090153,2,10,11.5,0
17.0,-1.3761249241123725,-1.2657316426297696,2,17,16.5,1
12.0,-0.331149563139521,0.29417420270727324,2,3,8.5,0
16.5,1.046277673324328,0.659469018290157,11,5,13.5,0
19.0,-0.8958333333333336,-1.8116994182961983,2,20,21.5,0
9.0,0.062499999999999785,0.5144957554275278,2,12,9.5,1
16.5,1.1377632757718334,-1.0634083689242941,2,26,18.5,1
13.0,0.7422696190252056,-1.3614981140913056,3,4,13.5,0
30.0,-0.5913636636275171,-0.1389723163836258,3,16,28.5,0
9.5,0.20412414523193173,-1.2618583523428488,3,23,9.5,1
20.0,-0.9120868550726635,-0.6399146837295432,3,35,19.5,1
18.5,-0.07142857142857181,1.6913143462074318,3,23,18.5,1
6.0,-0.1268156059023486,-0.9110425621749204,3,5,9.5,0
20.0,-3.352913762174052,-1.7464620516272387,3,7,13.5,0
13.0,-0.175682092231576,-0.09829463743659776,3,10,10.5,0
10.5,0.0,0.7900657071763397,3,11,8.5,1
27.0,-0.05717917291210384,-1.163774096531873,3,34,30.5,1
11.0,-0.43033148291193485,-0.295358674412096,3,13,10.5,1
10.0,0.6486918316109167,-1.2400666925689103,2,14,9.5,1
7.5,0.2591605276744079,1.2958026383720402,6,15,9.5,1
14.0,-0.49783326612000556,-0.5834761620744254,2,12,10.5,1
6.0,-1.632993161855452,0.9572649572649579,2,2,4.5,0
17.0,-1.1902380714238086,-0.2734343708098643,6,15,16.5,0
4.0,0.7126631780928961,0.8999540851465148,2,0,3.5,0
23.5,-0.18257418583505583,0.5897678246195899,6,26,24.5,1
24.0,1.4534441853748632,0.7095748751868965,6,36,29.5,1
10.5,1.3949716649258317,1.064304168380384,6,28,12.5,1
2.5,0.578351744823806,0.8881568136299298,6,5,4.5,1
17.0,-0.49340536968447646,-0.96370992265538,2,23,15.5,1
12.0,-1.2468356936288512,-0.5338631490681303,2,15,7.5,1
19.0,-0.5961981550354085,-1.7089557634194346,2,24,20.5,1
7.5,1.6970562748477143,-0.09284766908852396,6,8,9.5,0
5.0,-2.138089935299395,-1.5058939323315808,6,0,5.5,0
10.0,0.18388132451298406,0.3149022642558538,2,13,9.5,1
17.0,0.9038461538461535,-1.2403473458920846,2,25,19.5,1
27.0,-0.8626432241437186,0.3190350828357804,3,19,28.5,0
9.0,-0.3015113445777639,1.9574007317156774,4,9,7.5,1
10.5,0.7003492917357617,0.5289307197571284,4,8,8.5,0
0.0,-0.7222222222222223,0.48420012470625245,4,2,4.5,0
10.0,1.0845107419335656,-0.3898048450556481,3,24,10.5,1
19.0,-0.5151515151515151,1.4920948115967756,3,16,19.5,0
21.5,-1.2088642012256094,1.4628897074954987,4,30,21.5,1
29.0,-0.36544084137792837,-0.32936830977416076,4,33,28.5,1
11.5,-0.6666666666666665,0.5019646441105297,3,6,10.5,0
11.0,-0.42788974939240165,-0.1870893656100101,3,15,9.5,1
9.0,-1.1413404531211344,-0.6628181231326008,3,2,6.5,0
10.5,1.0092167846991638,1.0422125006694776,4,13,11.5,1
12.0,-0.2581988897471614,-0.2942319461964402,3,12,12.5,0
5.5,0.78467156152078,0.28230918821702616,4,0,5.5,0
10.5,1.0646304478929987,-1.1202504632725157,2,9,11.5,0
8.0,0.48690765805494873,1.8417337489098802,2,6,10.5,0
13.0,0.15272070966424317,-0.3591223666130521,2,16,10.5,1
16.0,-2.3636363636363633,0.2790639152340534,2,23,15.5,1
25.0,-0.5079633530906373,0.9772718374722785,2,40,25.5,1
25.0,2.1344285239770713,2.096874350927174,2,23,30.5,0
11.0,1.1155854383234476,1.355261854357877,2,15,13.5,1
3.0,0.7856742013183862,0.2633552357254469,2,0,4.5,0
17.0,0.042126273187113324,-0.5296648157521526,2,8,16.5,0
12.0,-0.4086268239623969,-0.11664236870396046,2,11,9.5,1
8.0,1.1527280208473776,-0.3178753731351054,2,12,8.5,1
5.0,-1.6521604045495326,-3.109948996799121,2,2,3.5,0
10.0,0.9899674198971657,0.7389907521895105,2,9,10.5,0
17.5,0.2130288957369505,-1.00931936241039,2,10,18.5,0
27.0,-0.8540735882635742,0.7113513893458354,2,21,27.5,0
9.0,4.461538461538464,0.6999285823596578,2,16,7.5,1
9.0,0.6336059750618248,3.7070078788496135,2,14,7.5,1
10.0,0.9074990762104819,0.9809786256835343,2,4,8.5,0
0.5,-0.26726124191242434,1.0120486274099798,2,8,3.5,1
10.5,1.5216811843597147,0.8648441725261219,2,2,11.5,0
4.0,-1.1933411567405232,-0.9977215737086207,2,5,3.5,1
18.5,-0.13927150363278923,1.5769697696733818,2,15,20.5,0
2.0,-0.16877802211507523,-0.5672733497952634,2,7,3.5,1
22.0,-0.10144314975319765,1.0258382453381898,2,20,22.5,0
29.0,-0.33472646197977357,-0.2324952774876419,2,32,28.5,1
10.0,-0.36363636363636376,0.4426040868728611,2,18,10.5,1
11.0,0.7572401854185367,0.26765168951565244,2,23,9.5,1
7.5,-1.118033988749895,-0.8596584249092071,2,6,5.5,1
11.0,0.3335016652946692,0.9009519078454303,2,10,11.5,0
12.0,0.024742320634173975,0.6158001786534494,2,16,11.5,1
5.0,-0.5665577237325313,-0.1690857578339294,2,0,3.5,0
10.0,0.8665782448262419,-0.8783154927310787,2,4,11.5,0
7.5,0.3521476061368818,1.3942197669180458,2,23,9.5,1
14.0,0.7035264706814487,0.1484784677291257,2,32,12.5,1
17.0,-1.2247448713915892,0.8910421112136321,2,13,15.5,0
25.5,0.1419904585617662,1.99128912748802,2,24,26.5,0
24.0,3.722222222222224,4.543441112511213,2,36,29.5,1
12.0,2.4799496265348107,1.7729699849815193,2,14,14.5,0
17.0,-0.1375228328345053,-0.3855564462269478,2,22,15.5,1
12.0,-0.8626621856275077,0.35377908700348976,2,4,9.5,0
20.0,0.7486859688371778,-0.18983159915050246,2,22,22.5,0
8.0,0.7572401854185367,-0.18717149220929635,2,2,7.5,0
10.0,0.45360921162651524,0.3283053930987485,2,23,11.5,1
27.0,-6.4603173449327285,0.24339687757091566,2,26,26.5,0
9.5,1.7520638947128793,0.924547494222868,2,5,8.5,0
9.5,1.5679870641600815,3.405471904972676,2,6,8.5,0
9.5,1.0866107359888664,0.7025538307139475,2,11,8.5,1
10.0,0.8623699387080367,0.6111667136182758,2,15,10.5,1
18.0,-0.11872978971404417,0.41548076933606726,2,14,19.5,0
21.5,-0.4678064524529429,0.3429971702850226,2,33,22.5,1
29.0,0.1411184515924671,0.09221388919541208,2,33,30.5,1
11.5,0.36324157862839024,0.8618575020903769,2,16,11.5,1
11.0,0.6617173282340479,0.9534625892455922,2,14,11.5,1
10.5,-0.9999999999999999,0.6593589289949755,2,16,11.5,1
12.5,0.6350528962771204,0.7600065066233922,2,9,12.5,0
9.5,0.9632945667934563,-0.4456159485179733,2,14,10.5,1
8.0,1.3157476524919358,1.079145830736645,2,7,11.5,0
14.5,1.3210572688919693,0.9101932534111271,2,24,16.5,1
16.0,-1.1172430658184898,0.6612258200861307,2,16,15.5,1
25.0,-0.2307692307692311,1.588130712353925,2,29,25.5,1
25.0,3.1529895239278,5.264851939934794,2,26,29.5,0
13.0,1.5538432245563816,1.7697072503753704,2,17,14.5,1
17.0,0.26940795304016224,0.16071428571428675,2,8,17.5,0
11.5,-0.7009130258223495,0.43578602847822234,2,12,9.5,1
21.0,1.3883469549942695,0.0726752374667257,2,19,23.5,0
8.0,0.4213250442347433,-0.580279487552236,2,5,6.5,0
10.0,1.4416267757005161,0.8121789017229569,2,15,14.5,1
26.5,-2.287945339720994,0.024499797877502193,2,29,26.5,1
9.0,1.0886621079036347,0.8944271909999167,2,12,10.5,1
10.0,0.5174336838042218,1.4133730193197176,2,9,9.5,0
10.5,1.117963418419049,0.8465974141646179,2,10,10.5,0
17.0,-1.3744863869781825,0.24963760510528524,2,25,19.5,1
22.0,0.48365083340667403,0.39317854974639105,2,16,23.5,0
29.0,1.555555555555556,-0.08333333333333749,2,28,30.5,0
13.0,0.3981517779819261,0.4965363264368466,2,14,12.5,1
11.5,1.244185266175583,1.6418113638464829,2,6,12.5,0
11.0,-2.4494897427831788,0.4481426646623502,2,10,13.5,0
12.0,-0.21982600255746396,-0.14838240682166476,2,13,11.5,1
27.0,-1.4656562175858796,1.5591588857382135,2,28,28.5,0
9.5,1.3125,0.9103664774626046,2,11,9.5,1
9.0,1.6006534613300831,0.44800277547539136,4,9,7.5,1
9.5,-0.06479013191860217,2.876118708177639,2,5,8.5,0
2.0,1.6785699623788295,7.583850796225378,2,7,5.5,1
10.0,0.5865884600854137,1.91404059566906,2,8,11.5,0
4.5,-0.9185586535436923,0.6875,2,2,3.5,0
18.0,-0.2156655464068761,0.40961596025952024,2,28,20.5,1
2.5,0.9296593253990959,0.7281176729900042,2,7,4.5,1
21.5,0.8158957510756971,1.1858541225631423,2,36,22.5,1
29.0,0.12309149097933231,-0.015625000000003553,2,36,30.5,1
13.5,0.33890300149652053,0.8456571731037192,2,7,12.5,0
11.0,0.9561828874675148,1.3769739822052744,2,5,11.5,0
6.0,-4.098005709323841,-6.695271963607354,2,0,4.5,0
10.5,-2.500480723011846,0.7021604974819787,2,12,11.5,1
12.5,-0.1749635530559407,0.7470825549071716,2,9,11.5,0
7.5,1.1396639062644667,1.6692496990633638,10,10,6.5,1
10.0,1.079828347470659,1.0874579004377114,7,8,8.5,0
9.0,1.6292365588538344,0.49514114800427544,7,2,8.5,0
9.0,-2.2841761621976726,2.179534522903895,7,5,7.5,0
16.0,-0.3194382824999698,2.0028626218074472,10,15,14.5,1
25.5,-0.035168997422666375,2.841764353773953,10,22,22.5,0
25.0,2.885649713317273,4.867254562469612,10,16,26.5,0
13.5,1.5679328920910127,1.226549405549791,10,12,12.5,0
22.0,1.0694845264983073,0.6078431372549058,7,12,23.5,0
29.0,0.7162587967716536,-1.6617647058823517,7,30,31.5,0
11.0,-2.604228661315135,2.556041713731182,7,14,11.5,1
8.0,0.5827715174143591,1.2347898130260642,3,5,8.5,0
9.5,0.7027980805845236,0.4994587881639504,3,13,7.5,1
9.0,0.34755244511811584,-0.09493489232775704,3,2,6.5,0
9.0,-3.9198315480488906,0.7678358166593231,3,11,7.5,1
16.0,-0.688247201611686,1.7851698170538728,3,18,14.5,1
2.0,3.268602252303067,4.8989794855663575,3,0,3.5,0
25.0,0.6533052580081493,2.02860206483395,3,21,23.5,0
25.0,1.344822296270778,3.9198315480488963,3,18,27.5,0
4.0,-1.7777777777777783,1.7390542064296313,3,4,3.5,1
13.0,1.3171055481963496,0.6469189340404728,3,26,12.5,1
21.5,0.36520874174106455,-0.1796053020267775,3,16,23.5,0
29.5,0.6097727471733642,-1.9882696935448698,3,32,32.5,0
3.0,0.3055555555555556,-1.6524736808061384,3,0,2.5,0
11.5,-1.6926545321120199,1.533959567107992,3,17,12.5,1
7.0,-0.907218423253029,-1.8410569175357128,3,3,4.5,0
5.0,-1.2171612389003694,0.0625764339285249,3,2,3.5,0
