Date,Player ID,L10 Median,Kalman,DARKO,Relative Performance,Home,Recent T,Spread,Points
2023-09-10,1628878,9.0,9.347825575339685,10.41486066417787,9.717948717948715,0,-0.9094484710905192,2.0,11.0
2023-09-08,1628878,11.5,11.524705751016988,11.699282884774595,-5.421052631578945,1,-0.28990807613276975,-5.0,0.0
2023-08-31,1628878,11.5,12.34013333423888,12.132912753520909,-5.48571428571428,0,-0.510787418979482,-9.0,8.0
2023-08-29,1628878,11.5,12.169365896861844,12.022914335625696,2.588235294117652,1,-1.0866781890854842,11.0,13.0
2023-08-26,1628878,11.5,11.257815267500632,11.48366726029008,-2.4848484848484844,1,-1.8970680733858918,16.0,16.0
2023-08-22,1628878,12.5,12.263560375003886,12.124557278010084,-17.0,1,-0.04733379792998821,-4.0,7.0
2023-08-20,1628878,11.0,12.07546248991789,11.98525463389051,3.0967741935483843,1,0.28638615873650175,-13.0,13.0
2023-08-18,1628878,11.5,13.542480816200284,13.064925437696834,2.1666666666666714,0,0.4205920980269225,4.0,6.0
2023-07-11,1628878,11.5,15.727306412107774,13.801758399599144,12.333333333333329,1,1.193066496360553,7.0,5.0
2023-07-09,1628878,12.0,16.855676245387162,14.167428081734911,3.529411764705884,0,2.1143209709583908,-8.0,10.0
2023-07-07,1628878,11.5,14.778873608025965,12.963142429261051,16.5,1,1.5903433485794365,8.0,26.0
2023-07-02,1628878,11.5,13.528585478781771,12.250169678196313,-8.0,0,0.9482592625852744,-17.0,20.0
2023-06-30,1628878,12.0,14.298200350926603,12.492731115488045,9.642857142857139,0,0.9779969925550674,-5.0,10.0
2023-06-28,1628878,11.5,13.274044429721801,11.74124535153431,31.92307692307692,1,0.3837717471846938,23.0,19.0
2023-06-25,1628878,10.0,10.927787562823156,10.246321385857696,11.833333333333329,0,-0.031323780087993996,-1.0,24.0
2023-06-22,1628878,8.5,10.629288382568474,10.01894372705872,4.181818181818187,0,-0.8007428532671048,21.0,12.0
2023-06-18,1628878,9.5,10.88150398189335,10.157353992496564,1.2999999999999972,1,0.0,8.0,9.0
2023-06-16,1628878,8.0,10.757346856724471,10.030931372346581,13.666666666666671,1,0.33423747224480677,19.0,11.0
2023-06-13,1628878,10.0,11.560051351603617,10.529294290532116,-9.375,0,0.14617633655117154,-21.0,7.0
2023-08-31,1631022,6.0,7.982536924526945,8.449232097662449,-5.48571428571428,0,-1.6438776638387622,-9.0,7.0
2023-08-29,1631022,6.0,8.139184027122095,8.698738871049168,2.588235294117652,1,-1.8076744392513049,11.0,7.0
2023-08-26,1631022,8.0,8.658273997534224,9.413980990152783,-2.4848484848484844,1,-1.4414713483065786,16.0,5.0
2023-08-22,1631022,8.0,7.959416749346146,8.635521383221636,-17.0,1,-1.5246403844470318,-4.0,13.0
2023-08-18,1631022,10.5,8.268287813572972,9.295346578394854,2.1666666666666714,0,-1.6669857255708236,4.0,6.0
2023-08-13,1631022,11.5,8.993222346488714,10.844223516006192,2.2413793103448256,1,-1.8892648130749974,7.0,4.0
2023-06-25,1631022,12.0,9.534289310851383,11.434964258996612,11.833333333333329,0,-1.5682423878055665,-1.0,6.0
2023-06-22,1631022,13.0,9.51801490850771,11.62101819786524,4.181818181818187,0,-0.8887891426181501,21.0,10.0
2023-06-18,1631022,13.0,9.085502580004103,11.569538444433716,1.2999999999999972,1,-0.6499555709619098,8.0,12.0
2023-06-16,1631022,14.0,9.769331050552662,12.405139203117043,13.666666666666671,1,-0.4816524945536373,19.0,6.0
2023-06-13,1631022,14.0,10.588052638273567,13.45830850077046,-9.375,0,-0.058621038176054706,-21.0,6.0
2023-09-10,201886,14.0,15.324907417119576,17.098640578466135,8.538461538461533,1,-1.0995456882488572,-11.0,7.0
2023-09-08,201886,14.0,17.483952086220512,17.5890805388258,-6.631578947368425,1,0.07247833625527907,17.0,10.0
2023-09-05,201886,14.0,14.465833016920907,17.073660171086868,7.567567567567565,1,-0.28547740204430666,14.0,25.0
2023-09-01,201886,14.5,16.648026971766523,17.627083942296693,-25.111111111111114,0,-0.1535953128678643,-31.0,9.0
2023-08-31,201886,14.5,17.322804431935978,17.81626933741337,0.914285714285711,1,0.3630555505603141,10.0,15.0
2023-08-27,201886,16.0,19.461118333428132,18.230090110274997,-0.08823529411765207,1,-0.12301667270353861,15.0,12.0
2023-08-24,201886,16.0,15.204128313388505,17.385353972595208,7.121212121212125,1,-1.301399659802321,-5.0,30.0
2023-08-22,201886,17.5,14.45860265587637,17.41388234451371,-15.34375,0,-1.0739977920392787,4.0,17.0
2023-08-20,201886,17.5,15.055053710105605,17.751730121085206,-4.483870967741936,0,-1.0610885410912232,6.0,13.0
2023-08-18,201886,17.0,11.210562948300561,17.17662589039278,-8.766666666666666,1,-1.7011347625245599,-20.0,25.0
2023-08-12,201886,19.5,14.35409791014883,18.248372594790368,-2.8620689655172384,0,-0.39960333214074684,-10.0,3.0
2023-08-10,201886,20.5,20.14208159087029,19.677040217311305,0.1428571428571388,0,0.8890162536645143,-6.0,0.0
2023-08-08,201886,19.5,19.793044261736416,19.56947960440076,-2.962962962962962,0,0.8496357116198432,12.0,21.0
2023-08-04,201886,19.5,22.071208375245494,20.02100245430017,4.192307692307693,0,0.734147207398907,16.0,14.0
2023-08-01,201886,19.5,24.841093972741035,20.43576963611433,-5.0,1,0.9392879764911203,10.0,15.0
2023-07-30,201886,19.5,22.48094185266516,19.52543211527129,-1.0416666666666714,1,0.6499853176383006,-4.0,31.0
2023-07-25,201886,19.0,18.637279708813537,18.471679034646456,4.1304347826087024,0,0.7124905253607439,5.0,32.0
