L10 Median,Kalman,DARKO,Relative Performance,Home,Recent T,Spread,Points,Line,OU Result
11.5,10.778382217745197,10.943549107711966,13.461538461538467,1.0,0.7001907830959923,7.0,10.0,13.5,0.0
15.5,15.442697434399518,14.55414462660419,8.200000000000003,0.0,-1.2543387171866351,-7.0,26.0,15.5,1.0
12.0,13.931689570842467,12.753635764153058,8.200000000000003,0.0,-0.3443439205069826,-7.0,2.0,12.5,0.0
24.5,24.93839419484257,26.11041200204734,1.9000000000000057,1.0,-0.8413144120502977,-8.0,24.0,24.5,0.0
14.0,13.295706717392074,12.98322156694684,9.25,0.0,-0.12586962856570902,8.0,10.0,12.5,0.0
21.5,20.729055898722745,20.639837384490757,9.25,0.0,0.5032661128113429,8.0,19.0,20.5,0.0
13.5,14.519742255428113,14.376246245799805,1.9000000000000057,1.0,0.47360831957510174,-8.0,16.0,13.5,1.0
12.0,10.364410257319845,12.470348519711097,1.9000000000000057,1.0,-0.6371469833422181,-8.0,10.0,11.5,0.0
19.0,18.535680509433814,17.992371497084697,9.25,0.0,-0.725743945671524,8.0,17.0,17.5,0.0
17.5,15.1818826795624,15.139988958698025,9.25,0.0,0.48132661740631616,8.0,21.0,15.5,1.0
12.5,13.475293164750433,12.537745153910517,1.9000000000000057,1.0,-0.3241018617760822,-8.0,19.0,11.5,1.0
29.0,29.552790139529105,28.6632425896024,17.299999999999997,0.0,1.0392304845413252,4.0,32.0,27.5,1.0
14.0,16.47268568002643,16.45819443042254,18.66666666666667,1.0,0.045933267532815195,-4.0,22.0,15.5,1.0
19.0,16.818617201249893,15.809295352281104,17.299999999999997,0.0,-1.0754384073881422,4.0,34.0,17.5,1.0
20.5,25.012018392568784,23.84960464255805,18.66666666666667,1.0,-0.20821287461650725,-4.0,18.0,21.5,0.0
19.0,18.33465681471109,18.563270172359672,17.299999999999997,0.0,0.04265307040292525,4.0,16.0,18.5,0.0
9.5,10.782539350041448,11.23039863273754,18.66666666666667,1.0,-0.35428900584467654,-4.0,8.0,9.5,0.0
13.0,12.601480592648677,12.64931635888086,2.4545454545454533,0.0,0.7216762355605415,-2.0,10.0,12.5,0.0
14.0,14.547152145616582,13.565013020206791,7.384615384615387,1.0,-0.14604379294922135,2.0,29.0,13.5,1.0
14.5,14.080469354655357,14.644228229770185,2.4545454545454533,0.0,-1.4049753563011826,-2.0,5.0,14.5,0.0
10.0,14.200010495186561,12.160859742456893,-5.666666666666671,1.0,-0.6192121627973388,5.0,12.0,11.5,1.0
18.0,19.39784697149143,19.79921688609763,-2.0,0.0,-0.4495181755238513,-5.0,16.0,18.5,0.0
15.0,20.479141346418164,18.314537513962037,-5.666666666666671,1.0,1.0332972645723213,5.0,7.0,16.5,0.0
19.5,19.30569315497149,20.40595699040252,-5.666666666666671,1.0,-0.1381070942504004,5.0,30.0,20.5,1.0
10.0,12.258060693105248,12.577075323099091,4.25,0.0,-0.831818916105881,18.0,13.0,12.5,1.0
24.0,24.717943737267344,25.858616568481818,-15.272727272727266,1.0,-0.6056948074262412,-18.0,11.0,24.5,0.0
15.5,13.089422878718096,13.804131142808894,4.25,0.0,-0.1420107042809551,18.0,12.0,13.5,0.0
18.5,18.78282167504798,18.103029925964243,4.25,0.0,-0.9153547687226453,18.0,8.0,17.5,0.0
10.5,12.487709220155558,12.31501607956754,4.25,0.0,-0.0288956200930556,18.0,14.0,11.5,1.0
14.5,14.73694478147285,14.569977981662683,-15.272727272727266,1.0,0.3306462700947505,-18.0,16.0,14.5,1.0
11.0,10.193778014585236,12.154642491378832,-15.272727272727266,1.0,-0.22360679774997883,-18.0,4.0,10.5,0.0
12.5,14.794219081825378,13.308763447591298,-15.272727272727266,1.0,0.06564241052875613,-18.0,16.0,12.5,1.0
29.0,29.872335701718395,29.052440316392982,-5.272727272727266,1.0,1.3616040502264042,-8.0,21.0,28.5,0.0
17.0,17.702889504002123,18.872851695133722,4.15384615384616,0.0,0.1490169006949309,8.0,14.0,19.5,0.0
20.5,18.526032298078192,18.186836874009735,-5.272727272727266,1.0,-0.5191237268967048,-8.0,10.0,18.5,0.0
16.0,18.298088412419236,15.659930091318765,4.15384615384616,0.0,0.2823708100032236,8.0,34.0,15.5,1.0
19.5,18.5805988674024,18.14677169007551,4.15384615384616,0.0,0.2544319031532818,8.0,15.0,17.5,0.0
11.5,12.710177846259135,12.33475895635654,12.5,1.0,0.3480318771185642,8.0,19.0,13.5,1.0
13.0,12.524044659982719,12.36024185595518,4.25,0.0,1.1261046407106416,-8.0,11.0,14.5,0.0
11.0,12.813998287696268,15.348810450629447,12.5,1.0,-0.6642093142304019,8.0,23.0,16.5,1.0
16.5,15.391329155144945,15.73781998786632,12.5,1.0,0.7789366583119769,8.0,17.0,16.5,1.0
13.5,12.526354551294958,13.591918839735582,4.25,0.0,-1.6607768644034484,-8.0,22.0,14.5,1.0
17.0,18.106771765198154,17.02514298985891,5.230769230769226,1.0,0.2989797183716104,9.0,13.0,15.5,0.0
13.5,12.955208410347677,12.677140192232752,-5.461538461538467,0.0,-0.3912845345444889,-9.0,14.0,12.5,1.0
20.0,20.228238925602,20.471588506662286,-5.461538461538467,0.0,0.31074987931577636,-9.0,14.0,19.5,0.0
20.0,22.791171573529933,23.25116702439682,5.230769230769226,1.0,-0.23747200237255675,9.0,30.0,21.5,1.0
18.0,18.24229068544244,17.863383285668153,-5.461538461538467,0.0,-0.3106322409961033,-9.0,15.0,17.5,0.0
17.5,16.36168028680837,15.741231674034493,-5.461538461538467,0.0,0.5105224414805435,-9.0,14.0,16.5,0.0
15.0,13.098442253944143,14.641906505197175,10.454545454545453,1.0,-1.3453148439121814,13.0,25.0,14.5,1.0
10.0,10.908948514660787,11.006299932080134,10.454545454545453,1.0,-0.19239828122482702,13.0,4.0,11.5,0.0
18.0,18.95133130927677,19.413741041945507,-3.8461538461538396,0.0,-1.2283734819915975,-13.0,10.0,18.5,0.0
15.5,17.368984198761652,15.898775801544986,10.454545454545453,1.0,-0.6561389048096647,13.0,16.0,16.5,0.0
12.0,11.139680504272837,11.49032486071042,10.454545454545453,1.0,-0.306710847264165,13.0,20.0,11.5,1.0
11.0,13.911641979226426,12.144614080795956,3.7692307692307736,1.0,-0.2961014009448775,12.0,12.0,11.5,1.0
9.5,11.372956109386253,10.747568350966933,3.7692307692307736,1.0,-0.41165023212760454,12.0,6.0,9.5,0.0
15.0,16.41401292777718,17.17185168409321,3.7692307692307736,1.0,0.31664986658439304,12.0,19.0,16.5,1.0
15.5,14.89367842103375,14.727999338791179,-3.0,0.0,0.6952331788973809,-12.0,17.0,15.5,1.0
11.0,8.806483905148971,11.196959929350315,-3.0,0.0,-1.227889765715413,-12.0,15.0,11.5,1.0
19.5,21.354564529657196,21.374885414095576,3.7692307692307736,1.0,0.04349374308980618,12.0,16.0,21.5,0.0
13.5,15.054157470553637,13.606152471614788,-3.0,0.0,0.5328897190610451,-12.0,8.0,12.5,0.0
10.0,12.385485735709336,12.620805667126985,-2.07692307692308,1.0,-0.512144352467703,9.0,11.0,13.5,0.0
15.5,12.92033808078198,13.61758427085856,-2.07692307692308,1.0,0.22988924466096142,9.0,13.0,13.5,0.0
7.0,8.263917545933465,7.998085044761676,-7.571428571428569,0.0,0.04237598409575336,-9.0,0.0,8.5,0.0
17.5,17.696236055365112,18.514249090730413,-7.571428571428569,0.0,-1.139020621873968,-9.0,8.0,16.5,0.0
17.5,17.61943961244104,17.05837824561305,-2.07692307692308,1.0,-0.9741336650602562,9.0,16.0,17.5,0.0
10.5,12.826703419273992,12.489243147758325,-2.07692307692308,1.0,-0.12345337881216914,9.0,12.0,12.5,0.0
9.5,11.518299224760332,10.51709678628119,-7.571428571428569,0.0,0.6414378962329902,-9.0,10.0,11.5,0.0
11.0,11.708181509215478,10.860161110666594,-2.07692307692308,1.0,0.6879058575893976,9.0,14.0,10.5,1.0
11.0,12.500068907712935,11.972597261294059,6.857142857142861,0.0,-0.4324389142899416,-6.0,12.0,12.5,0.0
16.0,16.759972409769873,18.391187662903416,6.857142857142861,0.0,0.2780166205517632,-6.0,28.0,19.5,1.0
14.0,16.630105544546197,16.630519512241005,16.85714285714286,1.0,-0.5615302881691339,6.0,19.0,14.5,1.0
17.0,21.54052879458698,17.47278067169308,6.857142857142861,0.0,0.5374826702276831,-6.0,17.0,15.5,1.0
20.5,25.007646944433837,23.91282002539697,16.85714285714286,1.0,0.4935837565234852,6.0,17.0,22.5,0.0
19.0,17.85300063161655,17.835724517787547,6.857142857142861,0.0,0.2543659908012496,-6.0,19.0,17.5,1.0
8.0,9.93156450422337,9.595949035492573,4.857142857142861,0.0,0.9127068492287544,-7.0,4.0,12.5,0.0
13.0,13.933037000778596,12.963514081457411,8.666666666666671,1.0,0.6676287432327245,7.0,22.0,14.5,1.0
15.5,18.01265721829571,15.038236164747696,4.857142857142861,0.0,0.6872804590584786,-7.0,27.0,15.5,1.0
11.0,16.002882393130477,16.0705734912734,8.666666666666671,1.0,-0.2765370031855187,7.0,18.0,17.5,1.0
16.5,15.716477176736243,15.856885772019133,8.666666666666671,1.0,0.6810412725310285,7.0,22.0,16.5,1.0
10.0,11.533103176744243,11.242434241897655,8.666666666666671,1.0,-0.13270986777605004,7.0,11.0,11.5,0.0
11.0,13.792656848742386,12.130600280689404,-18.5,1.0,-0.10724607736841252,13.0,4.0,12.5,0.0
9.5,10.50823164154765,10.287506139206917,-18.5,1.0,-0.49170515840695217,13.0,7.0,10.5,0.0
17.5,17.189211874865048,17.349008050355977,-18.5,1.0,0.5565581983877914,13.0,8.0,17.5,0.0
19.5,20.2488699905497,20.854033161160267,-18.5,1.0,-0.4003697739620012,13.0,16.0,21.5,0.0
15.5,17.061906306815718,15.910008364002033,-22.41666666666667,0.0,-0.1071077079037194,-13.0,6.0,16.5,0.0
12.0,13.11516017081825,12.434619396505017,-22.41666666666667,0.0,-0.0683161487950032,-13.0,14.0,12.5,1.0
29.0,28.574835160227558,28.18039000109012,7.166666666666671,1.0,0.0854168745020647,11.0,27.0,27.5,0.0
14.0,13.09271481725718,12.807172375479878,-0.0714285714285694,0.0,-1.3716608140476039,-11.0,19.0,13.5,1.0
19.0,15.994692179631746,17.206151248657985,7.166666666666671,1.0,-0.5518526275605508,11.0,32.0,17.5,1.0
20.0,18.812351260138083,19.835455503257606,-0.0714285714285694,0.0,0.39467267471834444,-11.0,1.0,20.5,0.0
19.5,18.676261223903435,18.66885539083272,7.166666666666671,1.0,-0.06280430123959121,11.0,11.0,17.5,0.0
17.0,17.75645245652322,17.51593025131052,-0.0714285714285694,0.0,-0.3557545971790778,-11.0,21.0,17.5,1.0
17.5,15.835756587843266,15.57007509736299,-0.0714285714285694,0.0,0.3537334517383388,-11.0,10.0,15.5,0.0
16.0,19.61475420227999,19.304420132893338,6.400000000000006,1.0,-0.10760585448139467,13.0,17.0,19.5,0.0
17.0,16.447749665198277,17.562835067591898,2.933333333333337,0.0,-1.9800121341057106,-13.0,9.0,17.5,0.0
17.5,20.802975488016365,17.427847058107258,6.400000000000006,1.0,1.1729134343072913,13.0,22.0,16.5,1.0
19.0,18.05281132917258,17.946378585852205,6.400000000000006,1.0,-0.12731440062423352,13.0,31.0,17.5,1.0
13.0,15.144512375242192,13.78671241189007,11.125,0.0,1.6375163071904422,12.0,10.0,15.5,0.0
13.0,13.740951144529191,14.864128749146483,3.3076923076923066,1.0,-0.4850141753771376,-12.0,19.0,17.5,1.0
14.5,16.603787520228916,16.24633879373651,11.125,0.0,0.2893207744120233,12.0,16.0,17.5,0.0
