FG T,Home,Minutes Diff,Rest Days,L5UR,UR,Recent T,Line T,OU Result
0.30151134457776363,1,-2.321428571428573,3,4,0.8571428571428571,0.4086268239623969,1.123723765896591,1
-0.26530612244897916,1,-0.2142857142857153,3,3,0.5714285714285714,0.135266307564,1.482726832913075,1
0.14274928542926585,0,1.25,2,3,0.6,0.0,0.5026155365907201,0
-0.20000000000000048,0,-0.3999999999999986,2,2,0.4,0.0,-0.9728062146853674,0
3.19047619047619,1,4.071428571428573,3,0,0.2857142857142857,9.486832980505138,4.743416490252569,0
0.5999999999999996,0,0.0,2,3,0.6,0.0,0.4831411950606584,0
-0.6463987355349672,0,1.3000000000000007,2,3,0.6,0.0,0.32852627812475216,1
0.20692844961462348,1,0.0,3,3,0.6,0.0,0.038749212914606285,0
0.5427204202399747,1,0.8999999999999986,3,3,0.6,0.0,-0.04062222318511924,1
0.26443913771217115,1,1.25,3,1,0.2,0.0,-1.8333333333333357,0
0.15132998169159548,0,0.3500000000000014,3,2,0.4,0.0,-1.0699812209025503,0
-0.23302720008113528,1,0.29999999999999716,3,2,0.4,0.0,-0.23836564731139806,0
0.22677868380553687,0,0.3500000000000014,3,2,0.4,0.0,-1.3931475927028563,0
-1.2124355652982144,0,-0.14999999999999858,3,3,0.6,0.0,1.0882143751650175,0
0.5656854249492385,0,-0.10000000000000142,3,4,0.8,0.0,1.4685763234883118,0
0.0,1,0.0,3,1,0.25,0.0,-1.5666989036012806,0
0.0,1,0.0,3,1,0.25,0.0,-1.9867985355975657,1
0.0,1,0.0,3,2,0.5,0.0,-0.3333333333333333,1
0.77151674981046,0,-1.9166666666666643,3,2,0.3333333333333333,-0.2417468892076147,0.0,0
-0.25509418097765074,0,0.0,3,3,0.6666666666666666,0.5960830148812502,0.6274558051381586,0
0.0,1,0.0,3,1,0.25,0.0,-0.38837866680189276,0
0.0,0,0.0,3,1,0.25,0.0,-1.5784566588059405,0
-0.8247860988423222,0,-2.583333333333332,3,2,0.5,0.14769300683245634,0.5076947109865689,1
0.11111111111111072,1,0.75,4,3,0.6666666666666666,0.8668451156610707,0.7537783614444091,0
0.09901475429766707,0,-0.16666666666666785,1,3,0.5,-0.3136719794305679,0.1695524213138209,0
-2.556038601690776,1,-1.8333333333333321,4,2,0.3333333333333333,-1.0245014273309605,-0.44543540318737396,1
-0.15151515151515194,0,-0.25,1,2,0.5,0.22056085937569145,-0.16966219951976255,0
-0.6963106238227907,0,0.0,1,4,0.6666666666666666,-0.5634361698190106,0.7042952122737643,1
0.4303314829119355,1,-0.33333333333333215,4,3,0.6666666666666666,0.06131393394849636,0.6131393394849658,1
0.7559289460184544,0,0.41666666666666785,1,3,0.6666666666666666,0.5471166695348626,1.1518245674418142,0
0.0,0,0.0,3,2,0.5,0.0,0.0,1
-0.15430334996209136,1,-1.0,4,3,0.5,-0.5071815879359771,0.716669635126924,1
0.0,0,0.0,3,2,0.5,0.0,0.11298653657320641,0
-0.13245323570650533,1,-0.33333333333333215,4,2,0.5,0.2993924754260482,-0.18712029714127995,0
0.0,0,0.0,3,1,0.25,0.0,-0.23145502494313785,0
0.0,0,0.0,3,2,0.5,0.0,0.08084520834544433,1
0.0,0,0.0,4,2,0.5,0.0,-0.8593378488473195,1
-1.056845815113575,1,-1.1999999999999993,3,1,0.2,0.0,-1.299688112275091,0
-0.24494897427831802,1,0.3999999999999986,3,3,0.6,0.0,-0.14079697633917995,1
0.0,0,0.0,4,0,0.0,0.0,-6.92820323027551,0
1.0844353369380757,1,1.2999999999999972,3,3,0.6,0.0,-0.7105263157894736,0
0.0,0,0.0,4,3,0.75,0.0,-0.11496024978590211,0
-0.07145896010104939,1,1.4500000000000028,3,3,0.6,0.0,-0.16574838603294897,0
0.1404878717372541,1,-3.5,2,3,0.75,0.41169348479630913,1.0292337119907728,0
0.19810145392326536,1,1.25,2,3,0.625,0.03865260540225512,0.8374731170488688,0
-0.31424381790290035,0,-0.1785714285714306,2,3,0.7142857142857143,0.5508880805915662,0.6441836426272349,1
2.651650429449553,1,3.25,2,2,0.5,4.853874344670057,4.65775820953187,0
-0.5073610689019095,1,-3.125,2,3,0.625,-0.10292337119907728,1.3380038255880047,1
-0.7839294959021859,0,1.0,2,1,0.2,0.0,-0.20761369963434995,0
-3.1298431857438067,0,-2.678571428571427,2,2,0.42857142857142855,-0.24539928613451512,0.4703486317578202,1
-3.799999999999997,1,0.75,2,3,0.6,0.0,1.118033988749895,0
0.07580980435789049,0,1.1666666666666679,2,3,0.5,-0.08064049958557075,0.2688016652852352,0
0.1999999999999998,1,-0.5,2,2,0.4,0.0,-0.7905694150420948,1
-0.5619514869490164,0,-2.166666666666668,2,2,0.3333333333333333,-0.5447658689304495,-0.2594123185383093,1
-0.24467726152216657,0,-1.0833333333333321,2,2,0.5,0.16585877695229942,0.2591543389879681,0
-0.1623005342401382,1,-0.14999999999999858,2,2,0.4,0.0,0.24385655500206596,1
-0.4923659639173312,0,1.5833333333333321,2,2,0.5,0.31126635188256124,0.6552975829106542,0
-0.3808866325636425,0,-0.6499999999999986,2,2,0.4,0.0,-0.36196138299651304,1
0.3133397807202556,1,0.05000000000000071,2,3,0.6,0.0,0.49099025303098304,0
0.07559289460184651,0,0.14999999999999858,2,1,0.2,0.0,-0.408248290463864,0
-0.25749052383148757,0,-0.3999999999999986,2,3,0.6,0.0,0.32951341167219517,0
-0.37032803990902086,1,0.6000000000000014,2,2,0.4,0.0,0.5752237416355278,0
-0.3553320553583897,1,-0.25,2,3,0.6,0.0,0.5976143046671968,0
